,threshold,infected_agents
888,0.25,205
889,0.25,195
890,0.25,191
891,0.25,193
892,0.25,197
893,0.25,200
894,0.25,202
895,0.25,203
896,0.25,198
897,0.25,199
898,0.25,199
899,0.25,199
900,0.25,202
901,0.25,199
902,0.25,204
903,0.25,203
904,0.25,209
905,0.25,204
906,0.25,113
907,0.25,147
908,0.25,172
909,0.25,190
910,0.25,201
911,0.25,211
912,0.25,219
913,0.25,226
914,0.25,232
915,0.25,238
916,0.25,240
917,0.25,244
918,0.25,245
919,0.25,247
920,0.25,166
921,0.25,162
922,0.25,159
923,0.25,166
924,0.25,177
925,0.25,183
926,0.25,197
927,0.25,207
928,0.25,208
929,0.25,209
930,0.25,223
931,0.25,227
932,0.25,228
933,0.25,233
934,0.25,211
935,0.25,199
936,0.25,194
937,0.25,186
938,0.25,187
939,0.25,188
940,0.25,184
941,0.25,195
942,0.25,199
943,0.25,209
944,0.25,202
945,0.25,202
946,0.25,211
947,0.25,214
948,0.25,212
949,0.25,204
950,0.25,202
951,0.25,202
952,0.25,196
953,0.25,192
954,0.25,191
955,0.25,181
956,0.25,188
957,0.25,190
958,0.25,191
959,0.25,192
960,0.25,195
961,0.25,199
962,0.25,203
963,0.25,204
964,0.25,202
965,0.25,203
966,0.25,200
967,0.25,197
968,0.25,191
969,0.25,195
970,0.25,194
971,0.25,193
972,0.25,200
973,0.25,204
974,0.25,205
975,0.25,209
976,0.25,212
977,0.25,211
978,0.25,211
979,0.25,208
980,0.25,205
981,0.25,206
982,0.25,211
983,0.25,205
984,0.25,208
985,0.25,207
986,0.25,205
987,0.25,203
988,0.25,198
989,0.25,194
990,0.25,196
991,0.25,203
992,0.25,208
993,0.25,207
994,0.25,212
995,0.25,212
996,0.25,206
997,0.25,204
998,0.25,196
999,0.25,196
1000,0.25,191
1001,0.25,196
1002,0.25,199
1003,0.25,202
1004,0.25,202
1005,0.25,193
1006,0.25,192
1007,0.25,193
1008,0.25,198
1009,0.25,197
1010,0.25,201
1011,0.25,199
1012,0.25,206
1013,0.25,200
1014,0.25,204
1015,0.25,206
1016,0.25,202
1017,0.25,196
1018,0.25,194
1019,0.25,201
1020,0.25,194
1021,0.25,198
1022,0.25,196
1023,0.25,197
1024,0.25,195
1025,0.25,198
1026,0.25,200
1027,0.25,201
1028,0.25,203
1029,0.25,201
1030,0.25,211
1031,0.25,209
1032,0.25,210
1033,0.25,214
1034,0.25,212
1035,0.25,205
1036,0.25,206
1037,0.25,209
1038,0.25,210
1039,0.25,205
1040,0.25,195
1041,0.25,191
1042,0.25,193
1043,0.25,197
1044,0.25,200
1045,0.25,202
1046,0.25,203
1047,0.25,198
1048,0.25,199
1049,0.25,199
1050,0.25,199
1051,0.25,202
1052,0.25,199
1053,0.25,204
1054,0.25,203
1055,0.25,209
1056,0.25,204
1057,0.25,113
1058,0.25,147
1059,0.25,172
1060,0.25,190
1061,0.25,201
1062,0.25,211
1063,0.25,219
1064,0.25,226
1065,0.25,232
1066,0.25,238
1067,0.25,240
1068,0.25,244
1069,0.25,245
1070,0.25,247
1071,0.25,166
1072,0.25,162
1073,0.25,159
1074,0.25,166
1075,0.25,177
1076,0.25,183
1077,0.25,197
1078,0.25,207
1079,0.25,208
1080,0.25,209
1081,0.25,223
1082,0.25,227
1083,0.25,228
1084,0.25,233
1085,0.25,211
1086,0.25,199
1087,0.25,194
1088,0.25,186
1089,0.25,187
1090,0.25,188
1091,0.25,184
1092,0.25,195
1093,0.25,199
1094,0.25,209
1095,0.25,202
1096,0.25,202
1097,0.25,211
1098,0.25,214
1099,0.25,212
1100,0.25,204
1101,0.25,202
1102,0.25,202
1103,0.25,196
1104,0.25,192
1105,0.25,191
1106,0.25,181
1107,0.25,188
1108,0.25,190
1109,0.25,191
1110,0.25,192
1111,0.25,195
1112,0.25,199
1113,0.25,203
1114,0.25,204
1115,0.25,202
1116,0.25,203
1117,0.25,200
1118,0.25,197
1119,0.25,191
1120,0.25,195
1121,0.25,194
1122,0.25,193
1123,0.25,200
1124,0.25,204
1125,0.25,205
1126,0.25,209
1127,0.25,212
1128,0.25,211
1129,0.25,211
1130,0.25,208
1131,0.25,205
1132,0.25,206
1133,0.25,211
1134,0.25,205
1135,0.25,208
1136,0.25,207
1137,0.25,205
1138,0.25,203
1139,0.25,198
1140,0.25,194
1141,0.25,196
1142,0.25,203
1143,0.25,208
1144,0.25,207
1145,0.25,212
1146,0.25,212
1147,0.25,206
1148,0.25,204
1149,0.25,196
1150,0.25,196
1151,0.25,191
1152,0.25,196
1153,0.25,199
1154,0.25,202
1155,0.25,202
1156,0.25,193
1157,0.25,192
1158,0.25,193
1159,0.25,198
1160,0.25,197
1161,0.25,201
1162,0.25,199
1163,0.25,206
1164,0.25,200
1165,0.25,204
1166,0.25,206
1167,0.25,202
1168,0.25,196
1169,0.25,194
1170,0.25,201
1171,0.25,194
1172,0.25,198
1173,0.25,196
1174,0.25,197
1175,0.25,195
1176,0.25,198
1177,0.25,200
1178,0.25,201
1179,0.25,203
1180,0.25,201
1181,0.25,211
1182,0.25,209
1183,0.25,210
1184,0.25,214
1185,0.25,212
1186,0.25,205
1187,0.25,206
1188,0.25,209
1189,0.25,210
1190,0.25,205
1191,0.25,195
1192,0.25,191
1193,0.25,193
1194,0.25,197
1195,0.25,200
1196,0.25,202
1197,0.25,203
1198,0.25,198
1199,0.25,199
1200,0.25,199
1201,0.25,199
1202,0.25,202
1203,0.25,199
1204,0.25,204
1205,0.25,203
1206,0.25,209
1207,0.25,204
1208,0.25,113
1209,0.25,147
1210,0.25,172
1211,0.25,190
1212,0.25,201
1213,0.25,211
1214,0.25,219
1215,0.25,226
1216,0.25,232
1217,0.25,238
1218,0.25,240
1219,0.25,244
1220,0.25,245
1221,0.25,247
1222,0.25,166
1223,0.25,162
1224,0.25,159
1225,0.25,166
1226,0.25,177
1227,0.25,183
1228,0.25,197
1229,0.25,207
1230,0.25,208
1231,0.25,209
1232,0.25,223
1233,0.25,227
1234,0.25,228
1235,0.25,233
1236,0.25,211
1237,0.25,199
1238,0.25,194
1239,0.25,186
1240,0.25,187
1241,0.25,188
1242,0.25,184
1243,0.25,195
1244,0.25,199
1245,0.25,209
1246,0.25,202
1247,0.25,202
1248,0.25,211
1249,0.25,214
1250,0.25,212
1251,0.25,204
1252,0.25,202
1253,0.25,202
1254,0.25,196
1255,0.25,192
1256,0.25,191
1257,0.25,181
1258,0.25,188
1259,0.25,190
1260,0.25,191
1261,0.25,192
1262,0.25,195
1263,0.25,199
1264,0.25,203
1265,0.25,204
1266,0.25,202
1267,0.25,203
1268,0.25,200
1269,0.25,197
1270,0.25,191
1271,0.25,195
1272,0.25,194
1273,0.25,193
1274,0.25,200
1275,0.25,204
1276,0.25,205
1277,0.25,209
1278,0.25,212
1279,0.25,211
1280,0.25,211
1281,0.25,208
1282,0.25,205
1283,0.25,206
1284,0.25,211
1285,0.25,205
1286,0.25,208
1287,0.25,207
1288,0.25,205
1289,0.25,203
1290,0.25,198
1291,0.25,194
1292,0.25,196
1293,0.25,203
1294,0.25,208
1295,0.25,207
1296,0.25,212
1297,0.25,212
1298,0.25,206
1299,0.25,204
1300,0.25,196
1301,0.25,196
1302,0.25,191
1303,0.25,196
1304,0.25,199
1305,0.25,202
1306,0.25,202
1307,0.25,193
1308,0.25,192
1309,0.25,193
1310,0.25,198
1311,0.25,197
1312,0.25,201
1313,0.25,199
1314,0.25,206
1315,0.25,200
1316,0.25,204
1317,0.25,206
1318,0.25,202
1319,0.25,196
1320,0.25,194
1321,0.25,201
1322,0.25,194
1323,0.25,198
1324,0.25,196
1325,0.25,197
1326,0.25,195
1327,0.25,198
1328,0.25,200
1329,0.25,201
1330,0.25,203
1331,0.25,201
1332,0.25,211
1333,0.25,209
1334,0.25,210
1335,0.25,214
1336,0.25,212
1337,0.25,205
1338,0.25,206
1339,0.25,209
1340,0.25,210
1341,0.25,205
1342,0.25,195
1343,0.25,191
1344,0.25,193
1345,0.25,197
1346,0.25,200
1347,0.25,202
1348,0.25,203
1349,0.25,198
1350,0.25,199
1351,0.25,199
1352,0.25,199
1353,0.25,202
1354,0.25,199
1355,0.25,204
1356,0.25,203
1357,0.25,209
1358,0.25,204
1359,0.25,113
1360,0.25,147
1361,0.25,172
1362,0.25,190
1363,0.25,201
1364,0.25,211
1365,0.25,219
1366,0.25,226
1367,0.25,232
1368,0.25,238
1369,0.25,240
1370,0.25,244
1371,0.25,245
1372,0.25,247
1373,0.25,166
1374,0.25,162
1375,0.25,159
1376,0.25,166
1377,0.25,177
1378,0.25,183
1379,0.25,197
1380,0.25,207
1381,0.25,208
1382,0.25,209
1383,0.25,223
1384,0.25,227
1385,0.25,228
1386,0.25,233
1387,0.25,211
1388,0.25,199
1389,0.25,194
1390,0.25,186
1391,0.25,187
1392,0.25,188
1393,0.25,184
1394,0.25,195
1395,0.25,199
1396,0.25,209
1397,0.25,202
1398,0.25,202
1399,0.25,211
1400,0.25,214
